SKU,Description,Cost
SSA0M55883,SP Intel  i77700T 2.9GHz/4C/8M/LGA 35W ,
SSA0J21640,SP Intel E31220 v53.0GHz/4C/8M         ,
SSA0F61488,SP Intel E31220v5 3.0GHz/4C/8M         ,
SSA0J21642,SP Intel E31225 v53.3GHz/4C/8M         ,
SSA0F61491,SP Intel E31225v5 3.3GHz/4C/8M         ,
SSA0J21638,SP Intel E31230 v53.4GHz/4C/8M         ,
SSA0F61487,SP Intel E31230v5 3.4GHz/4C/8M         ,
SSA0J21637,SP Intel E31240 v53.5GHz/4C/8M         ,
SSA0F61486,SP Intel E31240v5 3.5GHz/4C/8M         ,
SSA0J21644,SP Intel E31245 v53.5GHz/4C/8M         ,
SSA0F61490,SP Intel E31245v5 3.5GHz/4C/8M         ,
SSA0J21639,SP Intel E31270 v53.6GHz/4C/8M         ,
SSA0F61485,SP Intel E31270v5 3.6GHz/4C/8M         ,
SSA0J21643,SP Intel E31275 v53.6GHz/4C/8M         ,
SSA0F61489,SP Intel E31275v5 3.6GHz/4C/8M         ,
SSA0J21636,SP Intel E31280 v5 3.7GHz/4C/8M        ,
SSA0F61484,SP Intel E31280v5 3.7GHz/4C/8M         ,
SSA0J21661,SP Intel E51603 v4 2.8GHz/4C/10M/140W  ,
SSA0J21660,SP Intel E51607 v4 3.1GHz/4C/10M       ,
SSA0J21659,SP Intel E51620 v4 3.5GHz/4C/10M       ,
SSA0J21658,SP Intel E51630 v4 3.7GHz/4C/10M       ,
SSA0J21657,SP Intel E51650 v4 3.6GHz/6C/15M       ,
SSA0J21656,SP Intel E51660 v4 3.2GHz/8C/20M       ,
SSA0J21655,SP Intel E51680 v4 3.4GHz/8C/20M       ,
SSA0J21631,SP Intel E52603V41.7GHz/6C/15M         ,
SSA0J21630,SP Intel E52609V41.7GHz/8C/20M         ,
SSA0J21629,SP Intel E52620V42.1GHz/8C/20M         ,
SSA0J21632,SP Intel E52623V42.6GHz/4C/10M         ,
SSA0J21634,SP Intel E52630LV41.8GHz/10C/25M       ,
SSA0J21628,SP Intel E52630V42.2GHz/8C/20M         ,
SSA0J21621,SP Intel E52637V43.5GHz/4C/15M         ,
SSA0J21627,SP Intel E52640V42.4GHz/10C/25M        ,
SSA0J21620,SP Intel E52643V43.4GHz/6C/20M         ,
SSA0J21633,SP Intel E52650LV41.7GHz/14C/35M       ,
SSA0J21626,SP Intel E52650V42.2GHz/12C/30M        ,
SSA0J21625,SP Intel E52660V42.0GHz/14C/35M        ,
SSA0J21619,SP Intel E52667V43.2GHz/8C/25M         ,
SSA0J21624,SP Intel E52680V42.4GHz/14C/35M        ,
SSA0J21623,SP Intel E52683V42.1GHz/16C/40M        ,
SSA0J21648,SP Intel E5-2687W v4 3.0GHz/12C/30M,
SSA0J21618,SP Intel E52690V42.6GHz/14C/35M        ,
SSA0J21616,SP Intel E52697AV42.6GHz/16C/40M       ,
SSA0J21617,SP Intel E52698V42.2GHz/20C/50M        ,
SSA0J21614,SP Intel E52699V42.2GHz/22C/55M        ,
SSA0M91178,SP Intel Celeron G3930T                 ,
SSA0M55891,SP Intel i37100 3.9GHz/2C/3M/LGA 51W   ,
SSA0M91174,SP Intel Core i37300T                  ,
SSA7A23484,SP IntelE31220V6 3.0G/4+0/72W/2400     ,
SSA7A23487,SP IntelE31225V6 3.3G/4+2/73W/2400     ,
SSA7A23482,SP IntelE31240V6 3.7G/4+0/72W/2400     ,
SSA7A23481,SP IntelE31270V6 3.8G/4+0/72W/2400     ,
SSA7A23477,SP IntelE52699AV4 2.4G/22C/55M/145W    ,
SSA7A23478,SP IntelE52699RV4 2.2G/22C/55M/145W    ,
SSA7A23500,SP IntelG3930T 2.7G/2+2/2M/35W/2133,
SSA7A23491,SP Inteli37100 3.9G/2+2/3M/51W/2400    ,
SSA7A23490,SP Inteli37300T 3.5G/2+2/4M/35W/2400   ,
SSA0M91187,SP Xeon E31225v6 3.3G 4C 73W           ,
SSA0M91185,SP Xeon E31240v6 3.7G 4C 72W           ,
0000001GV758,"SSD 1.6TB 12Gb SAS 2.5"" SSD             ",
SSS7A06660,"SSD 1.92TB NVMe 2.5"" SSD",
0000001GV756,"SSD 400GB 12Gb SAS 2.5"" SSD             ",
0000001GV757,"SSD 800GB 12Gb SAS 2.5"" SSD",
SSD0H55435,SSD INTL LoydStar 180G 2.5 OPAL,
SSS0L25071,SSD INTL LoydStar 256G 2.5 OPAL         ,
0000000AH638,SSD ORDERABLE PN,
0000000AH641,OPT_DRIVE ORDERABLE PN                  ,
0000000AH644,OPT_DRIVE ORDERABLE PN                  ,
0000000AH645,SSD ORDERABLE PN,
0000000D8453,SSD ORDERABLE PN,
